wacc,mean_delivered,min_delivered,p50_delivered,europe_2025,europe_2030
0.02,4.552913557986878,3.810564513908727,4.5524701642259995,5.5,3.5
0.025,4.636938942083537,3.873719322259429,4.636271076073063,5.5,3.5
0.030000000000000002,4.7229193904583395,3.9383436913177703,4.72197833005773,5.5,3.5
0.035,4.8108224175072385,4.004413200020028,4.809577460535838,5.5,3.5
0.04000000000000001,4.900613108823775,4.071901601327356,4.899057726223034,5.5,3.5
0.045000000000000005,4.992254345470915,4.1407809908592625,4.990382136683382,5.5,3.5
0.05,5.085707032293172,4.211021978564725,5.083511732105164,5.5,3.5
0.05500000000000001,5.180930327883152,4.282593861636489,5.179094628372399,5.5,3.5
0.06000000000000001,5.277881873951144,4.355464796975184,5.27703360198281,5.5,3.5
0.06500000000000002,5.376518022008758,4.429601971632204,5.376674332936645,5.5,3.5
0.07,5.441476456900083,4.504971769797681,5.43499736869766,5.5,3.5
0.07500000000000001,5.542389330187418,4.581539935049829,5.535613830907831,5.5,3.5
0.08000000000000002,5.644835757495076,4.659271726738915,5.637759340095233,5.5,3.5
0.08500000000000002,5.748769518515744,4.738132069540446,5.741387812116169,5.5,3.5
0.09000000000000001,5.854144138714797,4.8180856953733775,5.846452909336053,5.5,3.5
0.09500000000000001,5.960913065413268,4.899097277037866,5.952908216192663,5.5,3.5
0.10000000000000002,6.069029832315118,4.9811315530799405,6.060707403238023,5.5,3.5
0.10500000000000002,6.178448212020868,5.0641534435357904,6.169804379202311,5.5,3.5
0.11000000000000003,6.28912235624807,5.148128156343679,6.280153430801042,5.5,3.5
0.11500000000000002,6.401006923642991,5.2330212843361155,6.391709350170292,5.5,3.5
0.12000000000000002,6.5140571952160995,5.318798892837226,6.505029763356314,5.5,3.5
0.12500000000000003,6.628229177565412,5.405427597990217,6.619901927990798,5.5,3.5
0.13,6.743479694166477,5.492874636026806,6.735859242075441,5.5,3.5
0.135,6.859766465105754,5.581107923764848,6.852859166632861,5.5,3.5
0.14,6.977048175715558,5.670096110682238,6.970860133830701,5.5,3.5
0.14500000000000002,7.09528453463484,5.759808622965218,7.089821605398882,5.5,3.5
0.15000000000000002,7.2144363218712,5.850215699968062,7.209704120986949,5.5,3.5
0.15500000000000003,7.334465427477157,5.941288423549629,7.330469337078224,5.5,3.5
0.16,7.455334881478939,6.0329987407714,7.4520800571029415,5.5,3.5
0.165,7.577008875710087,6.125319480452183,7.5745002534065895,5.5,3.5
0.17,7.699452778206321,6.218224364077946,7.697695081734018,5.5,3.5
0.17500000000000002,7.822633140813895,6.311688011561786,7.821630888885387,5.5,3.5
0.18000000000000002,7.946517700651844,6.405685942340253,7.9462752141883755,5.5,3.5
0.18500000000000003,8.071075376050876,6.500194572278672,8.071596785413151,5.5,3.5
0.19000000000000003,8.196276257568817,6.595191206840865,8.1975655097337,5.5,3.5
0.19500000000000003,8.322091594655825,6.690654030958278,8.324152460312249,5.5,3.5
