lcoe_pv,lcoe_wind,lcoe_chosen,technology,cf_pv,cf_wind,flh,lcoh_production,lcoh_capex,lcoh_elec,lcoh_water,nh3_conversion,conv_capex_portion,conv_opex_portion,conv_elec_portion,shipping_distance_km,shipping_cost,reconversion_cost,delivered_cost,grey_ammonia_equivalent,scenario,hex_id,lat,lon,theo_pv,theo_wind,grid_dist_km,road_dist_km,ocean_dist_km,waterbody_dist_km
0.04966552741229646,0.053417238513801424,0.04966552741229646,pv,0.2727808710332149,0.33640255955763687,2389.560430250963,3.670936628500909,3.667603090689794,0.003261369633407468,7.216817770714996e-05,0.7617094110296767,0.5114859161563213,0.25,0.00022349487335533407,11814.598190294484,0.3490676738041552,1.17,5.95171371333474,0.45,base_2025,hex_000,-19.71252741732844,21.42667018270944,0.6634168884306757,0.6221119988358864,148.1040023836202,99.3287389791286,401.9486959865509,209.80741851465152
0.04457090801649931,0.053728729013056024,0.04457090801649931,pv,0.3039607320280552,0.33445227703370684,2662.6960125657633,3.294384763798232,3.2913855648634662,0.0029268229597501218,7.237597501591251e-05,0.7092189850486514,0.45901841596257714,0.25,0.0002005690860742469,11881.897044177658,0.35105604903252174,1.17,5.524659797879405,0.45,base_2025,hex_001,-23.73345872297537,24.54513625407894,0.8468278354591481,0.6169796764044917,164.2124173809309,107.64313184893224,403.1165214670598,176.4293997201662
0.0523301104918817,0.05179677075474949,0.05179677075474949,wind,0.25889121388253133,0.34692695121144884,3039.080092612292,2.8871980639607266,2.883753949322625,0.0034013212795618837,4.279335853969046e-05,0.6524029752481758,0.40216988977977935,0.25,0.0002330854683963727,8748.591439172718,0.2584811107028303,1.17,4.968082149911733,0.45,base_2025,hex_002,-18.69682496106341,15.561555013934129,0.5817130228384195,0.649807766345918,25.688858679272823,17.689641590834682,238.2976785700376,63.933817239716994
0.04807477463555415,0.05923040736723949,0.04807477463555415,pv,0.28180695449024185,0.3033863273829629,2468.6289213345185,3.5533159540977297,3.5501322793547874,0.0031569102010680565,2.6764541874217006e-05,0.7453197095829727,0.4951033730971127,0.25,0.00021633648585999367,8754.018502635603,0.2586414557596883,1.17,5.727277119440391,0.45,base_2025,hex_003,-20.631583651287634,16.186435884488162,0.7165114970014225,0.5352271773235865,106.87281353179937,66.93030108114688,149.00878280554892,242.2167352237675
0.04667363173989905,0.06307989552991049,0.04667363173989905,pv,0.2902668021067851,0.28487199621348325,2542.7371864554375,3.449791096646526,3.4466634090467596,0.0030649018175867046,6.278578218011629e-05,0.7308835796703249,0.48067354832749526,0.25,0.0002100313428295457,8934.739006930698,0.2639809252047706,1.17,5.614655601521622,0.45,base_2025,hex_004,-27.86987182534821,17.57378135786131,0.7662753065105006,0.486505253193377,15.195472596163658,13.920513195117785,349.6854701288347,216.0451032366615
0.04554408189257942,0.05902229584058102,0.04554408189257942,pv,0.2974657796331077,0.3044560619783353,2605.8002295860238,3.366295410767615,3.36325061294924,0.002990728044279382,5.406977409543624e-05,0.7192457029132265,0.46904075454471,0.25,0.00020494836851660738,8744.059940881121,0.2583472255260331,1.17,5.513888339206875,0.45,base_2025,hex_005,-17.292531780358928,13.65259902718,0.8086222331359278,0.5380422683640402,126.02775071490714,80.99657107173759,301.13095579381485,223.0002811550848
0.04522102642286431,0.08443535469851268,0.04522102642286431,pv,0.29959085185647855,0.2128219372643923,2624.415862262752,3.3423950791556467,3.3393942421237477,0.002969514068434757,3.132296346446434e-05,0.7159172267497598,0.4657137321308569,0.25,0.0002034946189028894,8748.897107753657,0.2584901418199944,1.17,5.486802447725401,0.45,base_2025,hex_006,-19.866323576115764,12.818901074696605,0.8211226579792855,0.2968998349062955,85.8159970215324,34.46682027684199,174.40940070443244,43.66203670940741
0.04501128020152531,0.07933129532262015,0.04501128020152531,pv,0.3009869029983987,0.22651458907188401,2636.6452702659726,3.3268703248205584,3.323905311879287,0.0029557407332334957,9.27220803790593e-06,0.7137561882794323,0.4635536375185254,0.25,0.0002025507609068639,8707.063951989785,0.25725416221788,1.17,5.46788067531787,0.45,base_2025,hex_007,-19.567228336676557,17.65986896716307,0.8293347235199925,0.3329331291365369,40.40842627218149,79.4712935283363,51.56533394706672,41.50737207685166
0.04811494581955428,0.07692305149937133,0.04811494581955428,pv,0.28157167377177655,0.23360612209579906,2466.5678622407627,3.556319104968418,3.5530987626737396,0.0031595481088173977,6.079418586083558e-05,0.7457335977258374,0.4955170804696494,0.25,0.00021651725618799424,8924.629124889498,0.26368222414446246,1.17,5.735734926838718,0.45,base_2025,hex_008,-27.46263640789345,14.176730886712376,0.7151274927751562,0.3515950581468396,30.333727092025157,87.51235910013904,338.58742899357145,278.63095254691973
0.04844730682996351,0.07126393750760121,0.04844730682996351,pv,0.27964001952470235,0.25215693082671553,2449.6465710363927,3.5808462257823104,3.5776423109357456,0.0031813731485009376,2.254169806359524e-05,0.7491579499022251,0.49893993702149014,0.25,0.0002180128807348358,11796.307677710283,0.3485272722959856,1.17,5.848531447980521,0.45,base_2025,hex_009,-23.5953687452532,20.377395925555145,0.7037648207335433,0.4004129758597777,148.97292018353946,92.4690515382012,125.48262700606044,122.28556717835748
